,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,30.0,88,100,1.01,US,1612292778
1,Kjøllefjord,70.9457,27.3465,24.8,86,90,14.97,NO,1612292779
2,Karratha,-20.7377,116.8463,81.0,82,87,15.99,AU,1612292780
3,Carnarvon,-24.8667,113.6333,75.2,100,40,21.85,AU,1612292782
4,Ponta do Sol,32.6667,-17.1,61.0,87,78,3.0,PT,1612292783
5,Hualmay,-11.0964,-77.6139,75.85,63,27,10.71,PE,1612292784
6,Barrow,71.2906,-156.7887,-25.6,68,1,11.5,US,1612292785
7,Chui,-33.6971,-53.4616,84.79,53,96,2.73,UY,1612292620
8,Atuona,-9.8,-139.0333,78.1,81,0,17.6,PF,1612292787
9,Rikitea,-23.1203,-134.9692,77.81,77,56,15.95,PF,1612292557
10,Vaini,-21.2,-175.2,77.0,100,90,10.36,TO,1612292789
11,Westport,41.1415,-73.3579,35.6,75,90,18.41,US,1612292662
12,Hithadhoo,-0.6,73.0833,82.38,72,37,4.92,MV,1612292791
13,Singapore,1.2897,103.8501,78.8,83,75,9.22,SG,1612292604
14,Saint-Augustin,51.226,-58.6502,21.24,90,100,7.63,CA,1612292794
15,Arman',59.7,150.1667,-19.59,79,91,13.58,RU,1612292795
16,Kibala,9.1104,18.3463,86.0,37,0,4.12,TD,1612292796
17,Nome,64.5011,-165.4064,12.2,62,75,25.32,US,1612292797
18,Mareeba,-17.0,145.4333,73.4,94,75,1.14,AU,1612292798
19,Mataura,-46.1927,168.8643,56.37,86,100,1.57,NZ,1612292799
20,Henties Bay,-22.116,14.2845,68.0,86,10,10.36,NA,1612292800
21,Mezhdurechensk,53.6942,88.0603,20.64,96,100,2.53,RU,1612292801
22,Katobu,-4.9408,122.5276,76.1,91,95,3.18,ID,1612292802
23,Bredasdorp,-34.5322,20.0403,68.0,68,0,3.44,ZA,1612292804
24,Portland,45.5234,-122.6762,48.0,74,67,5.01,US,1612292580
25,Berlevåg,70.8578,29.0864,26.6,86,75,28.77,NO,1612292806
26,Kungurtug,50.5994,97.5228,-5.91,83,13,1.14,RU,1612292668
27,Punta Arenas,-53.15,-70.9167,69.8,49,40,17.0,CL,1612292808
28,Dikson,73.5069,80.5464,-21.91,82,0,12.17,RU,1612292809
29,Faya,18.3851,42.4509,62.6,72,0,2.59,SA,1612292810
30,Santa Maria,-29.6842,-53.8069,86.25,66,26,5.17,BR,1612292553
31,Hervey Bay,-25.2986,152.8535,73.99,94,75,10.36,AU,1612292813
32,Kaitangata,-46.2817,169.8464,58.37,80,100,4.27,NZ,1612292700
33,Cape Town,-33.9258,18.4232,71.6,68,0,14.97,ZA,1612292617
34,Pisco,-13.7,-76.2167,77.0,65,0,8.05,PE,1612292671
35,Mar del Plata,-38.0023,-57.5575,68.0,88,90,8.05,AR,1612292817
36,Burnie,-41.0667,145.9167,55.99,85,85,7.0,AU,1612292818
37,São Gabriel da Cachoeira,-0.1303,-67.0892,84.2,74,40,5.75,BR,1612292820
38,Ostrovnoy,68.0531,39.5131,24.69,96,100,18.43,RU,1612292821
39,Hermanus,-34.4187,19.2345,68.0,82,0,3.0,ZA,1612292822
40,Chokurdakh,70.6333,147.9167,-3.69,90,86,12.03,RU,1612292824
41,Clyde River,70.4692,-68.5914,-25.6,68,40,6.91,CA,1612292825
42,San Patricio,28.017,-97.5169,69.01,37,20,9.22,US,1612292826
43,Zhezkazgan,47.8043,67.7144,17.91,90,100,6.38,KZ,1612292828
44,Caravelas,-17.7125,-39.2481,83.25,64,95,9.75,BR,1612292543
45,Natal,-5.795,-35.2094,87.8,65,40,18.41,BR,1612292603
46,Maningrida,-12.0667,134.2667,77.34,91,100,8.75,AU,1612292831
47,French Harbor,16.35,-86.4333,75.99,73,20,11.5,HN,1612292832
48,Umluj,25.0213,37.2685,75.02,76,0,3.85,SA,1612292833
49,Florø,61.5996,5.0328,24.8,80,0,8.05,NO,1612292834
50,Alice Springs,-23.7,133.8833,75.2,29,85,6.91,AU,1612292835
51,Mountain Home,43.133,-115.6912,48.2,49,90,17.27,US,1612292836
52,Nantucket,41.2835,-70.0995,41.0,100,90,21.85,US,1612292838
53,Zhangjiakou,40.81,114.8794,15.49,69,100,0.49,CN,1612292839
54,Sungai Penuh,-2.0833,101.3833,64.0,96,91,3.44,ID,1612292840
55,Hamilton,39.1834,-84.5333,33.8,55,1,10.36,US,1612292733
56,Port Blair,11.6667,92.75,77.07,81,0,10.94,IN,1612292644
57,Tiksi,71.6872,128.8694,-0.63,93,100,15.75,RU,1612292843
58,Birao,10.2849,22.7882,82.31,19,0,4.36,CF,1612292844
59,Khatanga,71.9667,102.5,-30.33,84,3,9.4,RU,1612292845
60,Castro,-24.7911,-50.0119,77.11,77,6,1.99,BR,1612292846
61,Ribeira Grande,38.5167,-28.7,48.2,76,75,32.21,PT,1612292848
62,Iqaluit,63.7506,-68.5145,-18.4,63,75,4.61,CA,1612292849
63,Coyhaique,-45.5752,-72.0662,75.2,43,0,4.61,CL,1612292850
64,Katsuura,35.1333,140.3,42.8,45,0,5.75,JP,1612292742
65,Hobart,-42.8794,147.3294,57.2,67,90,2.3,AU,1612292852
66,Bluff,-46.6,168.3333,57.9,89,100,8.08,NZ,1612292853
67,Ambilobe,-13.2,49.05,76.14,90,100,1.86,MG,1612292854
68,Puerto Ayora,-0.7393,-90.3518,84.2,65,0,17.27,EC,1612292855
69,Narsaq,60.9167,-46.05,24.8,68,75,8.05,GL,1612292856
70,Esperance,-33.8667,121.9,69.8,46,75,14.97,AU,1612292858
71,Tamworth,52.634,-1.6959,48.99,92,100,8.99,GB,1612292859
72,Nikolskoye,59.7035,30.7861,24.8,86,75,8.95,RU,1612292860
73,Bethel,41.3712,-73.414,33.01,86,90,10.36,US,1612292861
74,Port Alfred,-33.5906,26.891,68.0,89,0,20.96,ZA,1612292862
75,Jamestown,42.097,-79.2353,21.99,93,90,14.97,US,1612292863
76,Golden,39.7555,-105.2211,59.0,21,20,4.61,US,1612292775
77,Bambous Virieux,-20.3428,57.7575,80.6,78,40,11.5,MU,1612292865
78,Geraldton,-28.7667,114.6,73.4,83,90,11.5,AU,1612292603
79,Qaanaaq,77.484,-69.3632,-7.26,84,100,3.47,GL,1612292867
80,Souillac,-20.5167,57.5167,80.6,78,40,11.5,MU,1612292868
81,Erenhot,43.6475,111.9767,3.47,86,100,5.44,CN,1612292870
82,Colares,38.7992,-9.4469,60.01,88,75,16.11,PT,1612292871
83,Røros,62.5747,11.3842,-16.6,76,75,5.21,NO,1612292588
84,Husavik,66.0449,-17.3389,10.4,72,0,8.05,IS,1612292873
85,Yurga,55.7231,84.8861,10.49,95,100,10.2,RU,1612292874
86,Bathsheba,13.2167,-59.5167,82.4,57,40,21.85,BB,1612292875
87,Ushuaia,-54.8,-68.3,53.6,82,75,14.97,AR,1612292819
88,Pangnirtung,66.1451,-65.7125,-22.0,63,40,1.43,CA,1612292877
89,Saint Paul Harbor,57.79,-152.4072,28.4,93,90,12.5,US,1612292878
90,Teluknaga,-6.0989,106.6381,75.99,94,75,9.22,ID,1612292879
91,Kavieng,-2.5744,150.7967,81.07,79,100,12.68,PG,1612292881
92,Dingzhou,38.5131,114.9956,17.6,49,0,2.24,CN,1612292882
93,Antalaha,-14.9003,50.2788,77.86,82,36,7.81,MG,1612292883
94,Busselton,-33.65,115.3333,61.0,84,4,1.01,AU,1612292884
95,Buala,-8.145,159.5921,80.46,81,100,9.84,SB,1612292885
96,Wembley,-31.9333,115.8,72.0,78,0,8.05,AU,1612292886
97,Portree,57.4129,-6.1942,37.0,76,100,10.0,GB,1612292887
98,Upernavik,72.7868,-56.1549,-8.12,87,100,5.93,GL,1612292888
99,Saldanha,-33.0117,17.9442,73.4,53,0,13.8,ZA,1612292890
100,Teknāf,20.8624,92.3058,62.1,63,0,10.69,BD,1612292891
101,George Town,5.4112,100.3354,78.8,89,20,5.75,MY,1612292711
102,Stettler,52.3168,-112.7186,10.4,100,100,12.66,CA,1612292893
103,Tilichiki,60.4667,166.1,12.43,98,100,3.56,RU,1612292894
104,San Martín,-33.081,-68.4681,69.8,49,40,3.44,AR,1612292895
105,Iskateley,67.6803,53.1512,6.57,94,99,15.86,RU,1612292896
106,Astoria,46.1879,-123.8313,43.0,93,90,5.75,US,1612292609
107,Hilo,19.7297,-155.09,75.2,60,1,4.61,US,1612292730
108,Nouadhibou,20.931,-17.0347,73.4,56,0,13.8,MR,1612292900
109,Brae,60.3964,-1.353,37.4,65,40,17.27,GB,1612292901
110,Rørvik,64.8621,11.2373,19.4,79,20,4.61,NO,1612292902
111,Hermosillo,29.0667,-110.9667,80.01,25,75,5.75,MX,1612292770
112,Provideniya,64.3833,-173.3,7.05,92,100,14.32,RU,1612292904
113,Fortuna,40.5982,-124.1573,52.0,93,75,2.55,US,1612292905
114,Nefteyugansk,61.0998,72.6035,15.8,92,0,6.71,RU,1612292906
115,Vanimo,-2.6741,141.3028,78.21,85,100,8.55,PG,1612292907
116,Province of Trapani,37.8333,12.6667,57.2,88,20,5.75,IT,1612292908
117,Butaritari,3.0707,172.7902,81.66,83,75,19.28,KI,1612292909
118,Airai,-8.9266,125.4092,60.96,100,100,2.19,TL,1612292910
119,Port-Cartier,50.0334,-66.8654,28.0,59,100,8.05,CA,1612292912
120,Avarua,-21.2078,-159.775,82.4,74,0,9.22,CK,1612292913
121,Beringovskiy,63.05,179.3167,8.78,95,100,8.01,RU,1612292914
122,Touros,-5.1989,-35.4608,84.2,65,40,18.41,BR,1612292915
123,Pochutla,15.7432,-96.4661,88.0,55,1,12.66,MX,1612292916
124,Rio Grande,-32.035,-52.0986,87.8,66,40,11.5,BR,1612292810
125,Saskylakh,71.9167,114.0833,-10.55,88,100,19.6,RU,1612292918
126,Agüimes,27.9054,-15.4461,68.0,77,20,12.66,ES,1612292919
127,São Filipe,14.8961,-24.4956,74.79,67,2,11.21,CV,1612292920
128,Yellowknife,62.456,-114.3525,-11.99,70,90,12.66,CA,1612292922
129,Torbay,47.6666,-52.7314,28.99,74,90,3.44,CA,1612292923
130,Samarai,-10.6167,150.6667,81.54,77,94,10.83,PG,1612292924
131,Sept-Îles,50.2001,-66.3821,28.0,59,100,8.05,CA,1612292925
132,Namatanai,-3.6667,152.4333,77.16,91,100,15.95,PG,1612292926
133,Lorengau,-2.0226,147.2712,81.16,84,99,12.06,PG,1612292927
134,Youghal,51.95,-7.8506,48.0,93,75,12.66,IE,1612292928
135,Port Lincoln,-34.7333,135.8667,60.19,85,5,14.05,AU,1612292808
136,Naze,28.3667,129.4833,51.15,75,3,18.16,JP,1612292930
137,Diego de Almagro,-26.3667,-70.05,82.8,18,89,14.9,CL,1612292932
138,São Paulo de Olivença,-3.3783,-68.8725,80.42,85,83,2.73,BR,1612292933
139,Saint-Leu,-21.15,55.2833,80.6,78,0,2.3,RE,1612292934
140,Seymchan,62.8833,152.4333,-25.62,84,100,1.95,RU,1612292935
141,Tuatapere,-46.1333,167.6833,57.88,86,100,3.85,NZ,1612292645
142,Waddān,29.1614,16.139,51.01,91,3,4.52,LY,1612292937
143,Sinnamary,5.3833,-52.95,78.67,87,97,15.03,GF,1612292938
144,Tasiilaq,65.6145,-37.6368,19.4,93,90,2.3,GL,1612292939
145,Kochubey,44.3861,46.5825,42.71,92,100,5.06,RU,1612292941
146,Labis,2.385,103.021,72.21,92,52,3.29,MY,1612292887
147,Pevek,69.7008,170.3133,9.93,92,100,8.99,RU,1612292943
148,Sioux Lookout,50.1001,-91.917,23.0,80,90,12.66,CA,1612292944
149,Palana,59.1167,159.9667,-8.48,91,71,11.36,RU,1612292945
150,Gijang,35.2442,129.2139,24.8,58,0,2.3,KR,1612292946
151,Orillia,44.6087,-79.4207,36.0,63,95,12.66,CA,1612292760
152,Longyearbyen,78.2186,15.6401,19.4,93,75,2.3,SJ,1612292948
153,Gananoque,44.3334,-76.1661,26.01,72,100,11.99,CA,1612292803
154,Lagoa,39.05,-27.9833,55.17,66,61,35.28,PT,1612292951
155,Morón,-34.6534,-58.6198,82.0,63,84,1.99,AR,1612292720
156,Ibanda,-2.7974,32.4746,77.0,73,40,8.05,TZ,1612292953
157,New Norfolk,-42.7826,147.0587,57.0,70,100,1.19,AU,1612292954
158,Okha,53.5739,142.9478,-24.32,84,100,16.22,RU,1612292955
159,Saint-Philippe,-21.3585,55.7679,80.6,78,0,2.3,RE,1612292956
160,Lavrentiya,65.5833,-171.0,5.07,90,100,21.45,RU,1612292957
161,Kruisfontein,-34.0033,24.7314,69.01,78,0,3.0,ZA,1612292958
162,Constitución,-35.3333,-72.4167,67.08,65,14,5.93,CL,1612292959
163,High Rock,26.6208,-78.2833,59.0,51,40,20.71,BS,1612292960
164,East London,-33.0153,27.9116,69.8,78,0,16.11,ZA,1612292962
165,Shipitsyno,61.2806,46.5208,16.75,95,90,8.68,RU,1612292963
166,Matagami,49.7502,-77.6328,14.0,100,90,8.05,CA,1612292964
167,Cidreira,-30.1811,-50.2056,81.39,71,0,10.27,BR,1612292965
168,Udimskiy,61.1417,45.9144,15.42,96,100,9.22,RU,1612292966
169,Port Elizabeth,-33.918,25.5701,69.8,83,0,13.8,ZA,1612292967
170,Luján,-34.5703,-59.105,78.01,67,84,10.2,AR,1612292905
171,Aquiraz,-3.9014,-38.3911,86.0,66,20,16.11,BR,1612292931
172,Sooke,48.3746,-123.7276,44.6,77,100,3.44,CA,1612292970
173,Inta,66.0317,60.1659,13.46,96,100,17.2,RU,1612292971
174,Cayenne,4.9333,-52.3333,80.6,94,75,11.5,GF,1612292973
175,Afonso Bezerra,-5.4983,-36.5056,95.04,29,81,18.61,BR,1612292974
176,Great Yarmouth,52.6083,1.7305,48.2,93,98,8.05,GB,1612292975
177,Kapaa,22.0752,-159.319,69.8,100,75,3.44,US,1612292976
178,Waitati,-45.75,170.5667,59.0,90,0,4.0,NZ,1612292977
179,Aksarka,66.5606,67.7975,4.53,93,97,7.56,RU,1612292978
180,Srednekolymsk,67.45,153.6833,-28.55,81,35,2.3,RU,1612292979
181,Dingle,10.9995,122.6711,74.01,92,100,8.01,PH,1612292980
182,Phuthaditjhaba,-28.5242,28.8158,55.63,87,100,4.54,ZA,1612292981
183,Nāhan,30.55,77.3,55.33,40,0,5.28,IN,1612292982
184,Freeport,40.6576,-73.5832,35.01,86,90,18.41,US,1612292870
185,Alberton,46.8168,-64.0654,30.2,100,100,32.21,CA,1612292985
186,Hong Kong,22.2855,114.1577,64.0,81,73,5.01,HK,1612292986
187,Pacific Grove,36.6177,-121.9166,55.0,100,90,4.52,US,1612292987
188,Hvide Sande,56.0045,8.1294,28.99,86,100,14.36,DK,1612292988
189,Fairbanks,64.8378,-147.7164,-20.0,63,1,3.31,US,1612292989
190,Tohāna,29.7,75.9,56.98,42,0,6.4,IN,1612292990
191,Bjæverskov,55.4576,12.0365,27.0,93,75,3.44,DK,1612292991
192,Maţāy,28.419,30.7792,57.51,38,28,0.34,EG,1612292992
193,San Francisco,37.7749,-122.4194,57.0,88,90,5.75,US,1612292723
194,Flinders,-34.5833,150.8552,63.0,81,12,3.0,AU,1612292995
195,Port Hedland,-20.3167,118.5667,82.4,83,90,11.5,AU,1612292901
196,Sault Ste. Marie,46.5168,-84.3333,26.6,46,1,9.22,CA,1612292997
197,Le Pradet,43.1066,6.0172,57.99,87,0,7.61,FR,1612292998
198,Norman Wells,65.282,-126.8329,-18.4,69,90,13.8,CA,1612292999
199,Cherskiy,68.75,161.3,-1.77,84,0,2.01,RU,1612293000
200,Artyom,40.4723,50.333,48.2,87,75,11.5,AZ,1612293001
201,Luxor,25.6989,32.6421,68.0,30,0,3.83,EG,1612293003
202,Lüshunkou,38.8,121.2667,17.6,73,0,2.24,CN,1612292710
203,Port Hardy,50.6996,-127.4199,41.0,100,75,3.44,CA,1612293006
204,Marovoay,-16.1,46.6333,84.2,84,20,8.05,MG,1612293007
205,Qingdao,36.0986,120.3719,36.0,64,0,6.71,CN,1612293008
206,Nortelândia,-14.4547,-56.8028,93.09,48,100,3.65,BR,1612293009
207,Tanout,14.9709,8.8879,73.67,15,0,10.92,NE,1612293010
208,Knysna,-34.0363,23.0471,68.0,60,0,5.75,ZA,1612293011
209,Cabo Rojo,18.0866,-67.1457,86.0,69,2,5.01,PR,1612293012
210,Bariloche,-41.1456,-71.3082,78.8,21,40,3.44,AR,1612293014
211,Tiarei,-17.5333,-149.3333,86.0,66,20,3.44,PF,1612293015
212,Hofn,64.2539,-15.2082,32.49,91,100,14.63,IS,1612293016
213,Luganville,-15.5333,167.1667,77.72,82,34,3.89,VU,1612293017
214,Khudumelapye,-23.8833,24.75,69.39,75,98,17.07,BW,1612293018
215,Lucknow,26.85,80.9167,57.2,94,0,4.27,IN,1612293019
216,Parrita,9.5201,-84.3225,80.6,64,40,24.16,CR,1612293020
217,Isfahan,32.6572,51.6776,28.4,31,0,0.51,IR,1612293021
218,Hanna,51.6334,-111.9018,10.4,100,76,12.66,CA,1612292973
219,Bandrele,-12.9067,45.1914,82.4,78,0,5.75,YT,1612293024
220,Peterhead,57.5058,-1.7981,37.4,87,90,18.41,GB,1612293025
221,Goundam,16.4145,-3.6708,76.78,15,29,9.19,ML,1612293026
222,Warrington,53.3925,-2.5802,48.2,93,90,9.22,GB,1612293027
223,Aykhal,66.0,111.5,-31.88,81,100,10.2,RU,1612293028
224,Iberia,29.9502,-91.7507,55.0,47,1,4.61,US,1612293029
225,Campo do Brito,-10.7333,-37.4933,84.2,65,20,14.97,BR,1612293030
226,Peleduy,59.6289,112.7406,-25.92,82,100,8.72,RU,1612293031
227,Ishigaki,24.3448,124.1572,65.64,74,98,24.47,JP,1612292897
228,Payo,-3.7508,103.6372,73.8,96,100,2.75,ID,1612293034
229,Cabo San Lucas,22.8909,-109.9124,84.2,56,40,10.36,MX,1612292822
230,Qaqortoq,60.7167,-46.0333,24.8,68,75,8.05,GL,1612293036
231,Sitka,57.0531,-135.33,35.6,60,40,5.75,US,1612293037
232,Northam,51.0333,-4.2167,50.0,92,98,5.01,GB,1612293038
233,Turan,16.0678,108.2208,69.8,88,75,1.1,VN,1612293039
234,Mandiana,10.6333,-8.6833,81.3,15,0,1.72,GN,1612293040
235,Jacupiranga,-24.6925,-48.0022,90.61,53,55,6.13,BR,1612293041
236,Beyneu,45.3167,55.2,41.76,65,98,13.98,KZ,1612293042
237,Hobyo,5.3505,48.5268,75.74,71,94,18.81,SO,1612293044
238,Tarko-Sale,64.9225,77.785,9.52,96,99,11.43,RU,1612293045
239,Agadez,19.75,10.25,66.31,25,0,7.67,NE,1612293046
240,Minyar,55.0709,57.5485,29.26,97,100,7.4,RU,1612293047
241,Zhigansk,66.7697,123.3711,-31.02,85,100,9.17,RU,1612293048
242,Hulan Ergi,47.2042,123.6333,-15.68,80,0,7.29,CN,1612292956
243,Moses Lake,47.1301,-119.2781,50.0,53,90,10.36,US,1612292960
244,Talnakh,69.4865,88.3972,-11.87,82,99,6.6,RU,1612293051
245,Laas,46.6166,10.7002,36.0,86,75,2.3,IT,1612293052
246,Boden,65.8252,21.6886,-0.4,92,90,2.3,SE,1612293054
247,Forsytheganj,52.6333,29.7333,17.35,96,0,8.12,BY,1612293055
248,Fuengirola,36.54,-4.6247,66.2,59,0,11.5,ES,1612293056
249,Snåase,64.2457,12.3778,19.4,73,0,13.8,NO,1612293057
250,Vilyuysk,63.7553,121.6247,-38.65,80,100,9.13,RU,1612293058
251,Ilabaya,-17.4208,-70.5133,75.36,44,30,10.02,PE,1612293059
252,Eureka,40.8021,-124.1637,52.0,81,100,2.55,US,1612293060
253,San Cristobal,7.7669,-72.225,96.8,23,20,9.22,VE,1612293062
254,Chippewa Falls,44.9369,-91.3929,30.0,64,90,1.9,US,1612293008
255,Mossamedes,-15.1961,12.1522,74.25,72,65,7.74,AO,1612293064
256,Pombal,-6.7703,-37.8017,98.82,21,33,15.3,BR,1612293065
257,Richards Bay,-28.783,32.0377,70.34,75,100,3.22,ZA,1612293066
258,Yerbogachën,61.2767,108.0108,-36.26,82,22,3.87,RU,1612293067
259,Ati,13.2154,18.3353,79.36,16,0,8.9,TD,1612292821
260,Kozhva,65.1073,57.0459,11.86,95,100,8.72,RU,1612293069
261,Flin Flon,54.7682,-101.865,21.2,93,90,8.05,CA,1612293070
262,Arraial do Cabo,-22.9661,-42.0278,87.8,57,0,23.02,BR,1612293071
263,Atar,20.5169,-13.0499,78.96,14,0,11.07,MR,1612293073
264,George Town,5.4112,100.3354,78.8,89,20,5.75,MY,1612293074
265,Vardø,70.3705,31.1107,28.4,74,40,23.02,NO,1612293075
266,Kindu,-2.95,25.95,73.31,77,94,3.33,CD,1612293076
267,Thompson,55.7435,-97.8558,15.8,92,90,3.44,CA,1612293029
268,Thinadhoo,0.5333,72.9333,82.94,70,100,6.67,MV,1612292879
269,Severo-Kuril'sk,50.6789,156.125,26.55,94,55,40.26,RU,1612293079
270,Madimba,-10.4,40.3333,78.94,76,0,5.01,TZ,1612293080
271,Tigil',57.8,158.6667,-9.56,87,0,8.21,RU,1612293081
272,Wangkui,46.8333,126.5,-20.76,83,0,7.52,CN,1612293082
273,Gizo Government Station,-8.103,156.8419,79.48,88,100,16.78,SB,1612293084
274,Adrar,20.5022,-10.0711,77.0,18,99,8.59,MR,1612293085
275,Ürümqi,43.801,87.6005,17.6,79,100,6.71,CN,1612292887
276,Aklavik,68.2191,-135.0107,-25.6,68,40,4.61,CA,1612293087
277,Manali,13.1667,80.2667,78.8,69,40,11.5,IN,1612293088
278,Teguise,29.0605,-13.564,64.4,88,20,9.22,ES,1612293089
279,Tuktoyaktuk,69.4541,-133.0374,-31.0,75,20,5.75,CA,1612293090
280,Ichinoseki,38.9167,141.1333,20.98,94,31,0.29,JP,1612293091
281,Broome,42.2506,-75.833,28.99,80,90,12.66,US,1612293092
282,Los Llanos de Aridane,28.6585,-17.9182,66.2,77,90,11.5,ES,1612293094
283,Wanning,18.8003,110.3967,68.45,84,70,5.59,CN,1612293095
284,Dunedin,-45.8742,170.5036,59.0,90,1,4.0,NZ,1612293096
285,Resistencia,-27.4606,-58.9839,77.0,94,90,10.36,AR,1612293006
286,Along,28.1667,94.7667,50.13,59,0,1.95,IN,1612293098
287,Mira,45.4358,12.1348,44.01,93,0,3.44,IT,1612292822
288,Yershov,51.3513,48.2766,33.82,100,100,6.31,RU,1612293100
